Bug ID,Description,CWE-ID,Justification,Slide Link
1,Observable Discrepancy,CWE-203,"Introduce a timing discrepancy that an unauthorized actor could observe, potentially enabling a timing attack to leak information about the input.

When msg_padded[0] is 1, the state machine transitions to EXTRA_DELAY, adding an extra clock cycle before proceeding to ROUND2. This creates a timing difference based on the input, making it vulnerable to timing attacks.",CWE-Buglist
2,Sensitive Information in Resource Not Removed Before Reuse,CWE-226,"Fail to clear sensitive data from registers before reuse, potentially exposing previous computation results.",CWE-Buglist
3,Missing Cryptographic Step,CWE-325,"Omit a critical step in the MD5 algorithm, reducing its cryptographic strength.",CWE-Buglist
4,Expected Behavior Violation,CWE-440,"Cause the implementation to deviate from the MD5 specification, producing incorrect hash outputs.",CWE-Buglist
5,Observable Discrepancy,CWE-203,"Add a data-dependent delay by introducing a conditional pipeline stage based on the input state’s least significant bit. If state_in[0] is 1, the output is delayed by an extra clock cycle, creating a timing discrepancy observable via side-channel analysis, potentially leaking information about the state.",
6,Sensitive Information in Resource Not Removed Before Reuse,CWE-226,"Remove the reset clearing of the key register k0. The key in k0 persists after reset, allowing potential access to the previous key value if the register is reused, violating confidentiality.",
7,Missing Cryptographic Step,CWE-325,"Replace the r10 instance of one_round with a new one_round_skip module that bypasses the round. Skipping round 10 reduces the AES-192 process from 12 to 11 effective rounds, significantly weakening encryption strength.",
8,Expected Behavior Violation,CWE-440,"Alter the S-box to output incorrect values for some inputs. The S-box deviates from the AES standard, producing incorrect substitutions that break encryption integrity.",
9,On-Chip Debug and Test Interface With Improper Access Control,CWE-1191,"Add an uncontrolled debug output for the key. The key is always exposed via debug_key, allowing unauthorized access without authentication, mimicking a vulnerable debug interface.",
10,Use of a Cryptographic Primitive with a Risky Implementation,CWE-1240,"Simplify the S-box to a linear function, reducing security. The S-box becomes a trivial operation, making AES encryption predictable and insecure.",
11,Internal Asset Exposed to Unsafe Debug Access Level or State,CWE-1244,"Expose the internal state s11 as an output. The pre-final-round state is exposed, allowing attackers to analyze intermediate cryptographic data.",
12,Sensitive Information Uncleared Before Debug/Power State Transition,CWE-1272,"Remove state clearing on reset. The output state persists across resets, potentially leaking previous encryption results.",
13,Improper Protection Against Hardware Reverse Engineering,CWE-1300,"Add explicit comments revealing key usage. Comments make it easier to identify key handling, assisting reverse engineering (demonstrative, not functional).",
14,Observable Discrepancy,CWE-203,"The design exhibits observable differences (e.g., timing) based on input data, potentially leaking information. If the least significant bit of the input block is 1, the rounds terminate early, creating a timing discrepancy observable by an attacker. (Note: This breaks SHA-256 correctness, but demonstrates the weakness.)",
15,On-Chip Debug and Test Interface with Improper Access Control,CWE-1191,"Debug interfaces expose sensitive data without proper authorization. If debug_enable is asserted (e.g., via an external pin or software), the internal state is exposed without authentication, allowing sensitive data leakage.",
16,Use of a Cryptographic Primitive with a Risky Implementation,CWE-1240,"The cryptographic algorithm is implemented incorrectly, compromising security. Incorrect hash values are produced, undermining the cryptographic integrity of SHA-256.",
17,Register Interface Allows Software Access to Sensitive Data,CWE-1262,"Sensitive registers are accessible or modifiable without control. External software can overwrite a_reg, manipulating the hash computation without authorization.",
18,Sensitive Information Uncleared Before Debug/Power State Transition,CWE-1272,"Sensitive data remains in registers during state transitions. During reset (e.g., power transition), a_reg to h_reg retain previous values, potentially leaking intermediate states.",
19,Observable Discrepancy,CWE-203,"Introduce a timing discrepancy based on the exponent bit to enable timing attacks. In the control FSM, add a delay when processing an exponent bit of 1, making execution time depend on the secret exponent.",
20,Sensitive Information in Resource Not Removed Before Reuse,CWE-226,"Ensure sensitive data (e.g., intermediate results) remains in memory after use. Expose the internal s_mem (which holds intermediate Montgomery product values) via the result output without clearing it.",
21,Incorrect Default Permissions,CWE-276,"Allow unauthorized writes to sensitive memory (e.g., exponent memory) by default. Remove write enable checks for exponent_mem, making it always writable.",
22,Cleartext Transmission of Sensitive Information,CWE-319,"Expose sensitive data (e.g., exponent) directly via an output port. Add an output port to leak the exponent memory content.",
23,Missing Cryptographic Step,CWE-325," Omit a critical step in the Montgomery multiplication, weakening the algorithm. Skip the addition of q*M in the Montgomery product calculation.",
24,Expected Behavior Violation,CWE-440,"Make a basic component (e.g., adder) produce incorrect results under specific conditions. Introduce an error in the adder for specific inputs (e.g., all ones).",
25,Unintended Proxy or Intermediary ('Confused Deputy'),CWE-441,Allow one module to access another’s sensitive memory illicitly via shared resources. Let montprod write to exponent_mem under a specific condition.,
26,Observable Discrepancy,CWE-203,"Introduce a timing side-channel where the time to assert encrypt depends on the P-code (p_pt), allowing an attacker to infer data by observing timing. Replace the encrypt signal logic with a state machine that delays encryption based on the lower 8 bits of p_pt.",
